date,new_cases,new_deaths,new_tests,day,month,year,weekday,total_case,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,case/million
2019-12-31,0.0,0.0,,31,12,2019,1,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-01,0.0,0.0,,1,1,2020,2,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-02,0.0,0.0,,2,1,2020,3,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-03,0.0,0.0,,3,1,2020,4,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-04,0.0,0.0,,4,1,2020,5,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-05,0.0,0.0,,5,1,2020,6,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-06,0.0,0.0,,6,1,2020,0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-07,0.0,0.0,,7,1,2020,1,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-08,0.0,0.0,,8,1,2020,2,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-09,0.0,0.0,,9,1,2020,3,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-10,0.0,0.0,,10,1,2020,4,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-11,0.0,0.0,,11,1,2020,5,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-12,0.0,0.0,,12,1,2020,6,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-13,0.0,0.0,,13,1,2020,0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2020-01-14,0.0,0.0,,14,1,2020,1,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
